#
# Mean: -3.09320201e-02
# Block size    # of blocks         Mean                Error
      1            10000       -3.09320201e-02       2.796564e-07
      2             5000       -3.09320201e-02       3.702813e-07
      5             2000       -3.09320201e-02       5.184559e-07
     10             1000       -3.09320201e-02       6.452308e-07
     20              500       -3.09320201e-02       7.459117e-07
     50              200       -3.09320201e-02       8.268983e-07
    100              100       -3.09320201e-02       8.735494e-07
    200               50       -3.09320201e-02       8.174637e-07
    300               33       -3.09320154e-02       8.762831e-07
    400               25       -3.09320201e-02       9.504738e-07
    500               20       -3.09320201e-02       1.028825e-06
   1000               10       -3.09320201e-02       8.788335e-07
# Stocahstic error estimate: 8.735494e-07
#
