#
# Mean: -8.18709958e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.18709958e-03       7.779355e-06
      2              500       -8.18709958e-03       9.517141e-06
      5              200       -8.18709958e-03       1.174333e-05
     10              100       -8.18709958e-03       1.321979e-05
     20               50       -8.18709958e-03       1.312240e-05
     50               20       -8.18709958e-03       1.337849e-05
    100               10       -8.18709958e-03       1.549303e-05
    200                5       -8.18709958e-03       1.977802e-05
    300                3       -8.19254716e-03       3.170999e-05
    400                2       -8.18895619e-03       4.666715e-05
# Stocahstic error estimate: 1.321979e-05
#
