#
# Mean: -6.65402755e-03
# Block size    # of blocks         Mean                Error
      1             1000       -6.65402755e-03       1.174457e-07
      2              500       -6.65402755e-03       1.557346e-07
      5              200       -6.65402755e-03       2.229938e-07
     10              100       -6.65402755e-03       2.837635e-07
     20               50       -6.65402755e-03       3.544004e-07
     50               20       -6.65402755e-03       4.369684e-07
    100               10       -6.65402755e-03       5.291378e-07
    200                5       -6.65402755e-03       2.808638e-07
    300                3       -6.65382526e-03       8.221230e-07
    400                2       -6.65406846e-03       6.720420e-07
# Stocahstic error estimate: 5.291378e-07
#
