#
# Mean: -1.91998207e-01
# Block size    # of blocks         Mean                Error
      1             1000       -1.91998207e-01       8.209588e-05
      2              500       -1.91998207e-01       9.595778e-05
      5              200       -1.91998207e-01       1.160963e-04
     10              100       -1.91998207e-01       1.249533e-04
     20               50       -1.91998207e-01       1.282458e-04
     50               20       -1.91998207e-01       1.322963e-04
    100               10       -1.91998207e-01       1.345917e-04
    200                5       -1.91998207e-01       1.040179e-04
    300                3       -1.91934346e-01       2.066394e-04
    400                2       -1.91957740e-01       1.826734e-04
# Stocahstic error estimate: 1.282458e-04
#
