#
# Mean: -4.63179011e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.63179011e-02       1.596142e-07
      2              500       -4.63179011e-02       2.114761e-07
      5              200       -4.63179011e-02       2.995220e-07
     10              100       -4.63179011e-02       3.796484e-07
     20               50       -4.63179011e-02       4.569248e-07
     50               20       -4.63179011e-02       5.144730e-07
    100               10       -4.63179011e-02       5.055869e-07
    200                5       -4.63179011e-02       6.147957e-07
    300                3       -4.63179320e-02       3.566146e-07
    400                2       -4.63177061e-02       6.118366e-07
# Stocahstic error estimate: 5.144730e-07
#
