#
# Mean: -2.42446127e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.42446127e-02       1.405017e-07
      2              500       -2.42446127e-02       1.910437e-07
      5              200       -2.42446127e-02       2.768081e-07
     10              100       -2.42446127e-02       3.587400e-07
     20               50       -2.42446127e-02       4.415614e-07
     50               20       -2.42446127e-02       4.990214e-07
    100               10       -2.42446127e-02       5.881612e-07
    200                5       -2.42446127e-02       4.010040e-07
    300                3       -2.42445866e-02       2.136479e-07
    400                2       -2.42446880e-02       6.905415e-07
# Stocahstic error estimate: 5.881612e-07
#
