#
# Mean: -4.62040206e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.62040206e-02       2.139315e-07
      2              500       -4.62040206e-02       2.846612e-07
      5              200       -4.62040206e-02       4.068336e-07
     10              100       -4.62040206e-02       5.069232e-07
     20               50       -4.62040206e-02       6.220651e-07
     50               20       -4.62040206e-02       6.223347e-07
    100               10       -4.62040206e-02       6.044474e-07
    200                5       -4.62040206e-02       8.033610e-07
    300                3       -4.62038660e-02       7.343545e-07
    400                2       -4.62035773e-02       1.837589e-07
# Stocahstic error estimate: 6.223347e-07
#
