#
# Mean: -2.44162466e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.44162466e-02       6.085699e-08
      2              500       -2.44162466e-02       8.214314e-08
      5              200       -2.44162466e-02       1.185475e-07
     10              100       -2.44162466e-02       1.515471e-07
     20               50       -2.44162466e-02       1.883391e-07
     50               20       -2.44162466e-02       2.300967e-07
    100               10       -2.44162466e-02       2.474863e-07
    200                5       -2.44162466e-02       2.466337e-07
    300                3       -2.44162528e-02       2.069927e-07
    400                2       -2.44163172e-02       2.488131e-07
# Stocahstic error estimate: 2.474863e-07
#
