#
# Mean: -6.12815876e-03
# Block size    # of blocks         Mean                Error
      1             1000       -6.12815876e-03       1.741645e-05
      2              500       -6.12815876e-03       2.118373e-05
      5              200       -6.12815876e-03       2.635888e-05
     10              100       -6.12815876e-03       3.058328e-05
     20               50       -6.12815876e-03       3.366274e-05
     50               20       -6.12815876e-03       3.860903e-05
    100               10       -6.12815876e-03       3.944616e-05
    200                5       -6.12815876e-03       5.323880e-05
    300                3       -6.14606167e-03       4.493472e-05
    400                2       -6.16490947e-03       8.356687e-05
# Stocahstic error estimate: 3.944616e-05
#
