#
# Mean: -8.58976588e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.58976588e-02       2.051273e-06
      2              500       -8.58976588e-02       2.561299e-06
      5              200       -8.58976588e-02       3.309705e-06
     10              100       -8.58976588e-02       3.970344e-06
     20               50       -8.58976588e-02       4.647512e-06
     50               20       -8.58976588e-02       5.216970e-06
    100               10       -8.58976588e-02       3.547874e-06
    200                5       -8.58976588e-02       2.051907e-06
    300                3       -8.58985904e-02       4.923543e-06
    400                2       -8.58987425e-02       2.324517e-06
# Stocahstic error estimate: 5.216970e-06
#
