#
# Mean: -3.18557829e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.18557829e-02       1.392794e-07
      2              500       -3.18557829e-02       1.891762e-07
      5              200       -3.18557829e-02       2.749996e-07
     10              100       -3.18557829e-02       3.522118e-07
     20               50       -3.18557829e-02       4.175578e-07
     50               20       -3.18557829e-02       4.895217e-07
    100               10       -3.18557829e-02       6.073358e-07
    200                5       -3.18557829e-02       7.971957e-07
    300                3       -3.18559511e-02       8.784554e-07
    400                2       -3.18564563e-02       7.353875e-07
# Stocahstic error estimate: 8.784554e-07
#
