#
# Mean: -8.49352396e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.49352396e-02       8.306892e-07
      2              500       -8.49352396e-02       1.092754e-06
      5              200       -8.49352396e-02       1.519056e-06
     10              100       -8.49352396e-02       1.903509e-06
     20               50       -8.49352396e-02       2.299053e-06
     50               20       -8.49352396e-02       2.826325e-06
    100               10       -8.49352396e-02       3.529184e-06
    200                5       -8.49352396e-02       5.386738e-06
    300                3       -8.49341673e-02       4.779979e-06
    400                2       -8.49332749e-02       1.145865e-05
# Stocahstic error estimate: 5.386738e-06
#
