#
# Mean: -4.63730970e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.63730970e-02       8.215322e-07
      2              500       -4.63730970e-02       1.055284e-06
      5              200       -4.63730970e-02       1.389510e-06
     10              100       -4.63730970e-02       1.700187e-06
     20               50       -4.63730970e-02       1.892084e-06
     50               20       -4.63730970e-02       1.848595e-06
    100               10       -4.63730970e-02       1.865537e-06
    200                5       -4.63730970e-02       4.787291e-07
    300                3       -4.63724120e-02       1.671287e-06
    400                2       -4.63733641e-02       4.695873e-07
# Stocahstic error estimate: 1.892084e-06
#
