#
# Mean: -4.82746795e-03
# Block size    # of blocks         Mean                Error
      1            10000       -4.82746795e-03       1.670155e-05
      2             5000       -4.82746795e-03       1.988871e-05
      5             2000       -4.82746795e-03       2.387511e-05
     10             1000       -4.82746795e-03       2.528047e-05
     20              500       -4.82746795e-03       2.654650e-05
     50              200       -4.82746795e-03       2.549194e-05
    100              100       -4.82746795e-03       2.701710e-05
    200               50       -4.82746795e-03       2.978499e-05
    300               33       -4.83270078e-03       2.840963e-05
    400               25       -4.82746795e-03       2.825229e-05
    500               20       -4.82746795e-03       2.240211e-05
   1000               10       -4.82746795e-03       1.828805e-05
# Stocahstic error estimate: 2.654650e-05
#
