#
# Mean: -7.28238662e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.28238662e-03       1.234210e-07
      2              500       -7.28238662e-03       1.634764e-07
      5              200       -7.28238662e-03       2.307238e-07
     10              100       -7.28238662e-03       2.704006e-07
     20               50       -7.28238662e-03       3.267877e-07
     50               20       -7.28238662e-03       3.297876e-07
    100               10       -7.28238662e-03       2.569264e-07
    200                5       -7.28238662e-03       1.913185e-07
    300                3       -7.28246180e-03       3.089094e-07
    400                2       -7.28244893e-03       1.800221e-07
# Stocahstic error estimate: 3.297876e-07
#
