rs = 1
----------------------------------------
Trial	Energy	Hyperparameters
3	-1.44332286e-02	4.198611791954938166e-01 
12	-1.44132813e-02	1.939424278196889007e-01 
15	-1.43884413e-02	5.385751529222245759e-01 
9	-1.43543707e-02	4.858561378199847125e-01 
7	-1.43381933e-02	3.964966412191967549e-01 
4	-1.43293537e-02	8.257121941626749395e-02 
11	-1.43117224e-02	5.915077169558063952e-01 
0	-1.42971536e-02	7.385113079261304558e-02 
5	-1.41244927e-02	6.234909259435605922e-02 
2	-1.41100991e-02	5.679209846354473790e-01 
6	-1.40990538e-02	5.944233708692386875e-01 
10	-1.40286571e-02	5.808562210932713410e-02 
14	-1.37179624e-02	7.733346369516913565e-01 
1	-1.30672320e-02	8.938797270109952731e-01 

rs = 100
----------------------------------------
Trial	Energy	Hyperparameters
6	-7.54323666e-03	1.328391342870141323e-01 
15	-7.52719525e-03	3.941798445135840656e-01 
1	-7.51560411e-03	3.638948811132636241e-01 
4	-7.50912983e-03	3.714474708176400131e-01 
11	-7.50006253e-03	3.206490112122492575e-01 
8	-7.49391502e-03	8.113644523516429230e-02 
14	-7.47916523e-03	4.667229611770125630e-01 
13	-7.47711446e-03	6.355310664090454975e-02 
7	-7.45847056e-03	5.796757282679557144e-02 
9	-7.45189323e-03	5.289376642441033505e-02 
2	-7.44936588e-03	1.219547175609553835e-01 
5	-7.44298652e-03	5.886269622850600625e-01 
0	-7.42014555e-03	1.168433574466302693e-01 
12	-6.01980519e-03	9.393329985066142251e-01 
10	inf	8.816337780824645698e-01 
3	inf	9.183583880206392935e-01 

rs = 110
----------------------------------------
Trial	Energy	Hyperparameters
11	-6.91331267e-03	3.449735584023991275e-01 
3	-6.91081281e-03	3.357039496236877696e-01 
7	-6.90125004e-03	1.652144482481714138e-01 
9	-6.89943615e-03	2.377617555431736085e-01 
10	-6.89209112e-03	1.571207191398907854e-01 
2	-6.89070469e-03	2.415656839060324745e-01 
0	-6.88754235e-03	2.962569519344178115e-01 
6	-6.86043535e-03	2.624735864959615306e-01 
1	-6.84542962e-03	7.998819225073104666e-02 
14	-6.82407443e-03	2.772360427037618424e-01 
13	-6.80428345e-03	5.789790953827317344e-02 
8	-6.78965552e-03	4.555365447821702607e-01 
12	-6.75979707e-03	3.087565957800356142e-01 
4	-6.58515963e-03	8.225158772405568586e-01 
15	inf	7.871342792142380640e-01 
5	inf	9.361022064563583323e-01 

rs = 200
----------------------------------------
Trial	Energy	Hyperparameters
5	-3.88029255e-03	1.586986954061042621e-01 
1	-3.82545960e-03	5.504688873114552683e-01 
9	-3.81646959e-03	1.723927469201095020e-01 
15	-3.81497842e-03	4.865333147179511930e-01 
8	-3.81263203e-03	1.007710993599480881e-01 
12	-3.80996612e-03	2.485686546990346912e-01 
3	-3.80990338e-03	8.126291923712607168e-02 
11	-3.80529021e-03	3.620560051754560527e-01 
10	-3.78673489e-03	7.833439928205088165e-02 
6	-3.78637376e-03	7.861453676843488392e-02 
7	-3.78517434e-03	1.026671046852971197e-01 
2	-3.78062659e-03	6.204474736656078598e-02 
14	-3.76069020e-03	5.469022958689225000e-02 
0	-3.61548524e-03	8.048751026583101931e-01 
13	inf	6.357090008889695332e-01 
4	inf	7.446944715087348010e-01 

