#
# Mean: -3.78152245e-03
# Block size    # of blocks         Mean                Error
      1             1000       -3.78152245e-03       5.193327e-08
      2              500       -3.78152245e-03       6.985672e-08
      5              200       -3.78152245e-03       1.011818e-07
     10              100       -3.78152245e-03       1.317453e-07
     20               50       -3.78152245e-03       1.658127e-07
     50               20       -3.78152245e-03       1.947867e-07
    100               10       -3.78152245e-03       1.742339e-07
    200                5       -3.78152245e-03       2.065816e-07
    300                3       -3.78150621e-03       1.816567e-07
    400                2       -3.78145107e-03       1.840609e-07
# Stocahstic error estimate: 1.947867e-07
#
